"event_url","partner_name","total_partner_amount","prize_title","prize_amount","description","prize_breakdown"
"https://ethglobal.com/events/bangkok","Bitkub","$20,000","Best dApp on Bitkub Chain","$10,000","N/A","1st place: $5,000 | 2nd place: $3,000 | 3rd place: $2,000"
"https://ethglobal.com/events/bangkok","Bitkub","$20,000","Best KUB Coin Utilization","$10,000","N/A","1st place: $5,000 | 2nd place: $3,000 | 3rd place: $2,000"
"https://ethglobal.com/events/bangkok","Coinbase Developer Platform","$20,000","Most Innovative Use of CDP SDK","$7,500","N/A","1st place: $5,000 | 2nd place: $1,500 | 3rd place: $1,000"
"https://ethglobal.com/events/bangkok","Coinbase Developer Platform","$20,000","Checkout component pool prize","$500","N/A","N/A"
"https://ethglobal.com/events/bangkok","Coinbase Developer Platform","$20,000","OnchainKit Pool Prize","$1,000","N/A","N/A"
"https://ethglobal.com/events/bangkok","Coinbase Developer Platform","$20,000","⛓️CDP SDK Pool Prize","$2,500","N/A","N/A"
"https://ethglobal.com/events/bangkok","Coinbase Developer Platform","$20,000","⚔️Best Combination of CDP SDK and OCK","$500","N/A","N/A"
"https://ethglobal.com/events/bangkok","Coinbase Developer Platform","$20,000","CDP x HYBE Creator Economy Prize","$3,000","N/A","1st place: $2,000 | 2nd place: $1,000 | 3rd place: $1,000"
"https://ethglobal.com/events/bangkok","Coinbase Developer Platform","$20,000","Best Developer Feedback","$500","N/A","N/A"
"https://ethglobal.com/events/bangkok","Coinbase Developer Platform","$20,000","Crypto x AI Award","$4,500","N/A","N/A"
"https://ethglobal.com/events/bangkok","Protocol Labs","$20,000","Filecoin Foundation: Storage & Retrieval","$10,500","N/A","1st place: $4,000 | 2nd place: $2,500 | 3rd place: $2,000 | 4th place: $1,000×2"
"https://ethglobal.com/events/bangkok","Protocol Labs","$20,000","Storacha","$4,500","N/A","Storacha: $1,250×4"
"https://ethglobal.com/events/bangkok","Protocol Labs","$20,000","Store your hackathon project data using Akave","$2,500","N/A","N/A"
"https://ethglobal.com/events/bangkok","Protocol Labs","$20,000","Swan Chain AI Agent Payment","$2,500","N/A","N/A"
"https://ethglobal.com/events/bangkok","Protocol Labs","$20,000","Protocol Labs","$1,500","N/A","N/A"
"https://ethglobal.com/events/bangkok","Protocol Labs","$20,000","Store your hackathon project data using Akave","$4,000","N/A","1st place: $1,500×2 | 2nd place: $1,000"
"https://ethglobal.com/events/bangkok","Protocol Labs","$20,000","Storacha","$5,500","N/A","1st place: $1,500×2 | 2nd place: $1,250×2"
"https://ethglobal.com/events/bangkok","Kinto","$20,000","Best Kinto App","$7,500","N/A","N/A"
